Datetime,Open,High,Low,Close,Volume
2001-05-06,64.5,65.27,64.25,64.69,2149200
2001-05-07,64.69,65.2,64.3,64.63,2663200
2001-05-08,64.63,65.51,64.0,65.0,2575400
2001-05-09,65.16,66.0,65.16,65.95,2441900
2001-05-10,65.95,66.43,65.3,66.01,1659000
2001-05-13,66.01,66.75,65.87,66.74,1399700
2001-05-14,66.7,66.7,65.44,66.59,2684000
2001-05-15,66.59,66.75,65.65,66.75,3985800
2001-05-16,66.75,69.85,66.56,68.79,6050600
2001-05-17,68.79,68.9,67.97,68.35,3360700
2001-05-20,68.35,68.75,67.87,68.69,1554800
2001-05-21,68.69,68.95,67.5,68.0,2812700
2001-05-22,67.65,67.65,66.0,66.0,3687500
2001-05-23,66.0,67.46,64.05,65.2,4253400
2001-05-24,64.9,64.9,62.9,63.33,3187800
2001-05-28,63.33,63.9,63.2,63.53,2271400
2001-05-29,63.53,63.95,62.8,63.05,3197700
2001-05-30,63.05,63.4,62.33,62.89,2653000
2001-05-31,62.9,65.57,62.9,65.0,3301500
2001-06-03,65.0,66.7,64.9,66.03,2465900
2001-06-04,66.7,67.55,66.7,66.93,3385500
2001-06-05,66.26,66.26,65.72,66.1,3493500
2001-06-06,66.06,66.06,65.12,65.65,2176200
2001-06-07,65.62,65.62,64.1,64.59,2250000
2001-06-10,64.59,64.75,63.67,64.5,1662300
2001-06-11,64.5,66.14,64.2,65.71,3116800
2001-06-12,65.71,66.49,65.4,65.49,2164000
2001-06-13,65.49,65.49,63.32,63.56,3756600
2001-06-14,63.72,64.51,63.72,64.25,5906700
2001-06-17,64.41,64.99,64.41,64.88,2425600
2001-06-18,64.88,64.88,61.54,61.8,4464100
2001-06-19,61.8,62.85,60.38,61.11,5950700
2001-06-20,60.0,60.0,56.7,57.75,9721900
2001-06-21,57.75,57.88,55.4,57.0,6131500
2001-06-24,57.0,57.78,56.39,56.96,5424700
2001-06-25,56.96,57.82,56.05,57.02,4629500
2001-06-26,57.02,58.04,56.88,57.7,3117600
2001-06-27,57.7,58.38,56.88,57.24,4013500
2001-06-28,56.89,57.5,55.58,55.6,4835800
2001-07-01,56.3,57.22,56.3,56.36,3333200
2001-07-02,56.36,57.06,56.15,56.33,2202600
2001-07-04,56.33,56.72,55.15,55.23,3141600
2001-07-05,55.23,55.48,53.77,54.3,4111300
2001-07-08,54.02,54.02,52.55,52.83,5602100
2001-07-09,53.19,54.62,53.19,54.15,4709600
2001-07-10,54.15,54.21,52.9,52.9,3300000
2001-07-11,53.26,54.79,53.26,54.5,3217800
2001-07-12,54.5,55.21,53.77,55.07,1639000
2001-07-15,55.07,55.39,54.08,55.28,1950800
2001-07-16,55.4,56.72,55.4,56.3,3848400
2001-07-17,56.3,57.6,55.05,57.13,5456400
2001-07-18,57.13,57.95,55.7,56.39,3427200
2001-07-19,56.39,57.15,56.27,56.79,1834100
2001-07-22,56.79,57.25,56.05,56.25,2123900
2001-07-23,56.25,56.6,55.19,55.26,2178000
2001-07-24,55.82,56.85,55.82,56.67,1590500
2001-07-25,56.67,58.18,56.52,58.11,2311300
2001-07-26,58.11,58.9,57.95,58.14,2612400
2001-07-29,58.64,58.9,57.4,57.4,2634300
2001-07-30,57.2,58.79,57.12,58.53,2661300
2001-07-31,58.65,59.34,58.52,59.0,2175100
2001-08-01,59.5,59.75,58.32,58.82,2348200
2001-08-02,58.82,59.25,58.56,59.21,1947300
2001-08-05,59.0,59.8,58.34,58.4,2732600
2001-08-06,57.44,57.73,56.5,57.5,4131900
2001-08-07,57.15,57.68,56.32,56.61,2982800
2001-08-08,56.51,57.04,55.88,56.36,3755500
2001-08-09,56.51,56.93,56.11,56.85,2330500
2001-08-12,56.55,57.24,56.15,56.45,1641800
2001-08-13,56.45,56.7,55.85,55.89,2119000
2001-08-14,55.55,56.1,54.39,54.44,3336500
2001-08-15,54.1,55.13,53.79,55.13,2962100
2001-08-16,55.0,55.0,53.4,54.0,2413700
2001-08-19,53.75,53.8,52.8,53.34,3248000
2001-08-20,53.27,53.31,51.94,51.94,3330300
2001-08-21,51.94,52.6,51.78,52.3,4197800
2001-08-22,52.1,52.5,52.0,52.17,1604200
2001-08-23,52.34,53.95,52.3,53.63,2351900
2001-08-26,53.91,53.91,53.01,53.06,1694300
2001-08-27,53.0,53.21,51.55,51.65,4484400
2001-08-28,51.8,52.0,50.51,50.7,3541600
2001-08-29,50.7,51.15,50.17,50.5,2545200
2001-08-30,50.5,51.2,50.26,51.2,1939700
2001-09-03,49.75,51.97,49.45,49.95,3245700
2001-09-04,50.2,51.25,49.9,50.61,3355600
2001-09-05,50.1,50.45,48.45,48.84,3942700
2001-09-06,47.8,48.0,44.79,45.18,8116200
2001-09-09,44.9,45.95,43.46,43.46,6618500
2001-09-16,35.65,38.7,35.45,35.8,21271400
2001-09-17,35.8,36.16,32.0,33.14,16794700
2001-09-18,32.0,33.81,31.93,32.61,15145000
2001-09-19,32.03,32.24,29.75,29.76,12043800
2001-09-20,28.25,30.3,27.6,30.1,13526500
2001-09-23,30.09,33.39,30.09,32.8,14101600
2001-09-24,33.25,34.48,32.76,34.33,10210700
2001-09-25,34.55,34.65,33.35,34.29,6368500
2001-09-26,33.9,34.59,32.1,34.4,9015900
2001-09-27,34.41,34.41,32.9,33.5,6780600
2001-09-30,33.5,34.25,32.05,32.4,6921500
2001-10-01,33.48,34.48,33.13,34.25,7077800
2001-10-02,34.51,37.52,34.4,36.59,8582000
2001-10-03,36.59,36.88,35.25,36.38,6461800
2001-10-04,36.5,37.04,34.95,36.26,3972600
2001-10-07,36.2,37.64,35.94,36.62,5169600
2001-10-08,36.9,36.97,35.62,36.0,3430100
2001-10-09,36.05,36.59,35.4,35.76,4520000
2001-10-10,35.9,36.69,35.89,36.18,5386900
2001-10-11,36.01,36.01,34.9,35.9,5105700
2001-10-14,35.6,35.75,34.78,35.27,4322600
2001-10-15,35.27,35.55,34.88,35.12,3418500
2001-10-16,35.3,35.45,33.51,33.7,4089900
2001-10-17,33.95,34.08,32.51,32.86,5471800
2001-10-18,33.36,33.75,32.8,33.45,3233100
2001-10-21,33.8,34.6,33.54,33.7,3398700
2001-10-22,34.02,34.55,33.8,33.89,3913300
2001-10-23,34.65,34.96,33.99,34.24,3792900
2001-10-24,34.1,35.95,33.63,35.9,5211400
2001-10-25,36.1,38.1,36.05,37.68,11519900
2001-10-28,35.88,35.9,33.5,33.75,10025200
2001-10-29,33.65,34.19,33.03,33.03,5458600
2001-10-30,33.05,33.55,32.42,32.6,4590700
2001-10-31,32.5,33.5,32.31,33.19,4550500
2001-11-01,33.49,34.55,33.21,34.35,4565100
2001-11-04,35.0,35.52,34.6,35.05,4373700
2001-11-05,34.9,35.74,34.3,35.52,3370700
2001-11-06,35.23,35.52,34.77,34.89,2988900
2001-11-07,35.0,35.75,34.6,34.9,2847200
2001-11-08,35.14,35.22,32.8,33.24,13761900
2001-11-11,33.0,33.28,31.58,33.06,6359200
2001-11-12,33.95,33.96,33.2,33.61,3117800
2001-11-13,33.95,34.25,33.64,34.1,3694600
2001-11-14,34.1,34.55,34.08,34.24,2919500
2001-11-15,34.8,35.01,34.6,34.99,3909700
2001-11-18,35.01,35.45,34.7,35.1,3807800
2001-11-19,35.2,35.2,34.86,34.97,3457000
2001-11-20,34.97,34.97,34.34,34.7,1957800
2001-11-22,35.09,35.65,34.9,35.63,1168100
2001-11-25,36.0,36.15,35.6,35.89,3381500
2001-11-26,36.15,36.25,35.15,35.5,3347500
2001-11-27,35.14,35.14,33.95,34.17,3843000
2001-11-28,34.7,35.2,34.31,35.15,3437100
2001-11-29,34.95,35.1,34.6,35.1,3630700
2001-12-02,35.1,35.1,34.03,35.0,3092700
2001-12-03,35.01,35.39,34.8,35.38,3200400
2001-12-04,35.5,36.22,35.43,35.89,4650500
2001-12-05,36.18,37.2,36.06,37.11,6270700
2001-12-06,37.4,37.55,36.6,37.3,4499800
2001-12-09,37.32,38.29,36.71,36.9,3852900
2001-12-10,37.2,37.65,36.65,37.07,2886500
2001-12-11,37.3,37.3,36.66,36.8,3972100
2001-12-12,36.45,37.8,36.0,37.0,2712800
2001-12-13,37.15,37.65,36.82,37.55,2517000
2001-12-16,37.35,37.67,36.99,37.06,2757400
2001-12-17,36.6,37.43,36.27,37.25,3166000
2001-12-18,36.35,37.88,36.31,37.51,4767700
2001-12-19,37.85,39.08,37.46,38.14,4437900
2001-12-20,38.4,39.2,38.15,38.64,6929100
2001-12-23,38.54,38.9,38.28,38.42,1245800
2001-12-25,38.45,38.85,38.16,38.6,1921200
2001-12-26,38.73,38.84,38.55,38.69,2171900
2001-12-27,38.93,39.12,38.69,39.1,2348000
2001-12-30,39.19,39.42,38.78,38.78,2308900
2002-01-01,38.54,38.67,37.85,38.1,3545800
2002-01-02,38.4,39.0,38.32,38.75,3491900
2002-01-03,39.65,40.4,39.42,40.36,4081100
2002-01-06,41.0,41.89,40.92,41.0,6111900
2002-01-07,41.47,41.7,40.02,40.33,4211000
2002-01-08,40.39,40.89,39.5,39.9,4574400
2002-01-09,40.1,40.25,39.63,39.84,2722800
2002-01-10,39.84,39.95,38.6,38.69,3433400
2002-01-13,38.69,38.7,38.07,38.25,2721400
2002-01-14,38.6,39.49,38.43,39.35,3246500
2002-01-15,38.65,39.1,38.02,38.02,3783300
2002-01-16,38.55,38.67,37.65,38.33,3092700
2002-01-17,38.33,39.62,38.03,39.15,2805300
